clean_text,sentiment
RT : Antoine Gatet de France Nature Environnement : «Les syndicats agricoles créent un climat de peur inadmissible»,negative
RT : Formidable tribune des meilleurs spécialistes de l’énergie qui expliquent pourquoi les énergies renouvelables sont cata…,positive
RT : Après la chute du royaume de Koush il y a eu plusieurs vagues de migrations vers l’ouest du continent. Ces migrations o…,neutral
RT : Le  est stable depuis 10000 ans. Les alarmistes se servent donc des événements étéo pour faire peur !,neutral
"RT : Dans ce climat d’antisémitisme propagé aujourd’hui par les islamistes, les anti israéliens et l’extrême gauche je m’inqu…",neutral
RT : Le  est stable depuis 10000 ans. Les alarmistes se servent donc des événements étéo pour faire peur !,neutral
RT : Formidable tribune des meilleurs spécialistes de l’énergie qui expliquent pourquoi les énergies renouvelables sont cata…,positive
C’est vrai que le processus de fabrication du sapin en plastique est tellement plus protecteur du climat qu’un champ de Nordmann. Ou alors cette personne s’imagine peut-être qu’on rase des forêts de conifères chaque hiver.,neutral
Oui expliquez-nous tout comme pour les 💉 comme pour le climat comme pour les guerres partout dans le monde comme pour la politique ... On a soif d'apprendre la vérité vraie que vous distillez si bien dans nos esprits simples 🤡🤬,neutral
RT : Formidable tribune des meilleurs spécialistes de l’énergie qui expliquent pourquoi les énergies renouvelables sont cata…,positive
